ID,Name,Address,lat,lng,,,open,close,open_time_min,close_time_min,,time_to_spend,,
2000050,真如堂の百日紅,京都市左京区浄土寺真如町82,35.0220237,135.7883723,,,0:00:00,0:00:00,,,,,,
2000051,真如堂の立皮桜,京都市左京区浄土寺真如町82,35.0220237,135.7883723,,,0:00:00,0:00:00,,,,,,
2000052,真如堂の花の木,京都市左京区浄土寺真如町82,35.0220237,135.7883723,,,0:00:00,0:00:00,,,,,,
2000053,真如堂の菩提樹,浄土寺真如町82,35.0220237,135.7883723,,,0:00:00,0:00:00,,,,,,
2000089,水火天満宮菅公影向松,上京区堀川通上御霊前上る扇町722-10,35.0367376,135.7520176,500,1800,5:00:00,18:00:00,300,1080,30,30,,
2000057,総見院の胡蝶佗助,京都市北区紫野大徳寺町59,35.0441793,135.7447323,,,0:00:00,0:00:00,,,,,,
2000058,疏水岸の桜,山科四宮桝山町,34.9918011,135.8241318,,,0:00:00,0:00:00,,,,,,
2000062,大徳寺の柏槙,京都市北区紫野大徳寺町,35.0435884,135.7432148,,,0:00:00,0:00:00,,,,,,
2000063,対龍山荘のはぜのき,南禅寺福池町,35.0114138,135.7944841,,,0:00:00,0:00:00,,,,,,
2000066,糺の森の椎,下鴨宮崎町,35.0366396,135.7692784,,,0:00:00,0:00:00,,,,,,
2000067,糺の森の椋,下鴨宮崎町,35.0366396,135.7692784,,,0:00:00,0:00:00,,,,,,
2000068,知恩院参道のむくろじ,東山区林下町400,35.0061608,135.783806,,,0:00:00,0:00:00,,,,,,
2000069,道風神社の榊,京都市北区杉阪道風町１,35.0915173,135.7034067,,,0:00:00,0:00:00,,,,,,
2000070,東北院のさざんか,浄土寺真如町,35.0214122,135.7894281,,,0:00:00,0:00:00,,,,,,
2000071,東北院の軒端の梅,浄土寺真如町,35.0214122,135.7894281,,,0:00:00,0:00:00,,,,,,
2000073,南禅寺の白檀,南禅寺福地町,35.010271,135.7917992,,,0:00:00,0:00:00,,,,,,
2000074,本願寺の大銀杏,堀川花屋町下る,34.9930855,135.7526635,,,0:00:00,0:00:00,,,,,,
2000075,平岡八幡宮の椎,梅ケ畑宮ノ口町,35.0403548,135.6874336,1000,1600,10:00:00,16:00:00,600,960,,33,,
2000076,平野神社の草花と樹木,平野宮本町,35.0320427,135.7325566,600,1700,6:00:00,17:00:00,360,1020,,33,,
2000077,宝鏡寺の熊谷と月光と村娘,京都市上京区寺之内通堀川東入百々町547,35.0343534,135.7527001,1000,1600,10:00:00,16:00:00,600,960,30,30,,
2000078,宝泉院の五葉松,大原勝林院町187,35.1213643,135.83418,,,0:00:00,0:00:00,,,,,,
2000079,法然院、北門の楓,京都市左京区鹿ケ谷,35.0206596,135.7944669,,,0:00:00,0:00:00,,,,,,
2000080,法然院の楓,京都市左京区鹿ケ谷,35.0206596,135.7944669,,,0:00:00,0:00:00,,,,,,
2000081,法然院の散椿,京都市左京区鹿ケ谷,35.0206596,135.7944669,,,0:00:00,0:00:00,,,,,,
2000082,法然院の椋,京都市左京区鹿ケ谷,35.0206596,135.7944669,,,0:00:00,0:00:00,,,,,,
2000084,妙蓮寺の妙蓮寺椿,寺之内大宮東妙蓮寺前町875,35.0342135,135.7500255,1000,1600,10:00:00,16:00:00,600,960,30,30,,
2000085,由岐神社の大杉,鞍馬本町,35.1389007,135.7852789,,,0:00:00,0:00:00,,,,,,
2000086,霊鑑寺の紅梅,鹿ケ谷御所の段町,0,0,1000,1600,10:00:00,16:00:00,600,960,30,30,,
2000087,霊鑑寺の日光椿,鹿ケ谷御所の段町,0,0,1000,1600,10:00:00,16:00:00,600,960,30,30,,
2000088,北野天満宮影向松,上京区御前通今小路上る馬喰町,35.0299253,135.735813,500,1800,5:00:00,18:00:00,300,1080,30,30,,
7000011,名勝大沢池,右京区嵯峨大沢町４番地,35.0282995,135.6779455,600,1900,6:00:00,19:00:00,360,1140,45,45,,
7000012,大原御香水,左京区大原上野町,35.1112348,135.8291599,,,0:00:00,0:00:00,,,,,,
7000016,音羽の滝,東山区清水1丁目,34.9949494,135.7832045,,,0:00:00,0:00:00,,,,,,
7000023,亀の井,西京区嵐山宮町,34.9995437,135.6822583,,,0:00:00,0:00:00,,,,,,
7000028,京見峠,京都府北区鷹峯堂庭町,35.0549594,135.7310765,,,0:00:00,0:00:00,,,,,,
7000030,空也の滝,右京区嵯峨愛宕町,35.0550218,135.6266962,,,0:00:00,0:00:00,,,,,,
7000033,小町化粧水,山科区小野随心院内,34.9612032,135.8126907,,,0:00:00,0:00:00,,,,,,
7000036,祐の井,上京区京都御苑内,35.0247566,135.763946,,,0:00:00,0:00:00,,,,,,
7000040,染井の水,上京区寺町通広小路上ル,35.0012771,135.7692979,,,0:00:00,0:00:00,,,,,,
7000041,醍醐水,伏見区醍醐東大路町,34.9515627,135.8190756,,,0:00:00,0:00:00,,,,,,
7000053,広沢池,右京区嵯峨広沢町,35.0260677,135.6922035,,,0:00:00,0:00:00,,,,,,
7000054,伏見の御香水,伏見区御香宮門前町,34.9337136,135.7672046,,,0:00:00,0:00:00,,,,,,
7000055,船岡山,北区紫野北舟岡町,35.0386038,135.7420305,,,0:00:00,0:00:00,,,,,,
7000056,遍照寺山,右京区北嵯峨朝原山町,35.0361999,135.6798926,,,0:00:00,0:00:00,,,,,,
7000060,深泥池,北区上賀茂深泥池町,35.0576405,135.7660196,,,0:00:00,0:00:00,,,,,,
7000063,吉田山,左京区吉田神楽岡町,35.0250578,135.7864644,,,0:00:00,0:00:00,,,,,,
7000064,知恩院紫雲水,東山区林下町400,35.0061608,135.783806,900,1630,9:00:00,16:30:00,540,990,,33,,
8000001,嵐山通船,南乗船場・京都市西京区嵐山山中町/北乗船場・京都市右京区嵯峨天竜寺芒ノ馬場町,35.009449,135.666773,900,1700,9:00:00,17:00:00,540,1020,30,30,,
8000008,京の夏の旅,京都市左京区岡崎最勝寺町13京都会館内,35.0143836,135.780667,,,0:00:00,0:00:00,,,,,,
10000000,清水寺狛犬,東山区清水1丁目294,34.9949622,135.7843343,,,0:00:00,0:00:00,,,,,,
8000018,姉妹都市,京都市中京区寺町通御池上る上本能寺前町488,35.0116335,135.7681124,,,0:00:00,0:00:00,,,,,,
8000022,知恩院七不思議,東山区林下町400,35.0061608,135.783806,900,1630,9:00:00,16:30:00,540,990,,33,,
8000026,嵯峨野トロッコ列車,京都市右京区嵯峨天龍寺車道町,35.0181575,135.680484,900,1730,9:00:00,17:30:00,540,1050,25,25,,
8000031,叡山ケーブル,上高野東山12,35.0669079,135.8085922,,,0:00:00,0:00:00,,,,,,
8000039,保津川下り,亀岡市保津町下中島１,35.0178434,135.5866272,,,0:00:00,0:00:00,,,,,,
10000000,北野天満宮神使,上京区御前通今小路上る馬喰町,35.0299253,135.735813,,,0:00:00,0:00:00,,,,,,
8000052,ポルタ,下京区烏丸通塩小路下ル,34.994785,135.761507,,,0:00:00,0:00:00,,,,,,
8000053,京都サンガF.C.,京都府城陽市久世上大谷89-1,34.8629802,135.8012664,,,0:00:00,0:00:00,,,,,,
8000054,京都市交響楽団,京都市北区出雲路立本町103,35.0381996,135.7651587,,,0:00:00,0:00:00,,,,,,
8000057,大原温泉,左京区大原草生町18,35.1236518,135.8221838,,,0:00:00,0:00:00,,,,,,
8000058,嵐山温泉,西京区嵐山上河原町1番2,35.0117081,135.6800004,,,0:00:00,0:00:00,,,,,,
10000000,愛宕社＜大豊神社＞狛鳶,左京区鹿ケ谷宮ノ前町1,35.0183937,135.7962197,,,0:00:00,0:00:00,,,,,,
10000000,稲荷社＜大豊神社＞狛きつね,左京区鹿ケ谷宮ノ前町1,35.0183937,135.7962197,,,0:00:00,0:00:00,,,,,,
10000000,新日吉神宮狛猿,東山区妙法院前側町451-1,34.98944,135.7753705,,,0:00:00,0:00:00,,,,,,
10000000,菅大臣神社狛犬,下京区仏光寺通新町西入,35.0013078,135.7566836,,,0:00:00,0:00:00,,,,,,
10000000,北野天満宮狛犬その一,上京区御前通今小路上る馬喰町,35.0299253,135.735813,,,0:00:00,0:00:00,,,,,,
10000000,北野天満宮狛犬その二,上京区御前通今小路上る馬喰町,35.0299253,135.735813,,,0:00:00,0:00:00,,,,,,
10000000,護王神社猪,上京区烏丸通下長者町下る桜鶴円町,35.0221032,135.7590586,,,0:00:00,0:00:00,,,,,,
10000000,禅居庵摩利支天堂,東山区大和大路通四条下る4丁目小松町146,34.9993145,135.772403,,,0:00:00,0:00:00,,,,,,
10000000,大国社＜大豊神社＞狛ねずみ,左京区鹿ケ谷宮ノ前町1,35.0183937,135.7962197,,,0:00:00,0:00:00,,,,,,
10000000,日吉社＜大豊神社＞狛猿,左京区鹿ケ谷宮ノ前町1,35.0183937,135.7962197,,,0:00:00,0:00:00,,,,,,
10000000,伏見稲荷大社眷属像,伏見区深草薮之内町68,34.966921,135.7731484,,,0:00:00,0:00:00,,,,,,
10000000,法輪寺＜西京区＞牛,西京区嵐山虚空蔵山町16,35.0100978,135.6770003,,,0:00:00,0:00:00,,,,,,
10000000,法輪寺＜西京区＞虎,西京区嵐山虚空蔵山町16,35.0100978,135.6770003,,,0:00:00,0:00:00,,,,,,
10000000,三宅八幡宮鳩,左京区上高野三宅町22,35.068349,135.7941056,,,0:00:00,0:00:00,,,,,,
10000000,安井金比羅宮狛犬,東山区東大路通松原上る下弁天町70,34.9998937,135.7758964,,,0:00:00,0:00:00,,,,,,
10000000,大原野神社神鹿,西京区大原野南春日町1152,34.9582501,135.6554481,,,0:00:00,0:00:00,,,,,,
11000000,御堂ヶ池1号墳,右京区鳴滝音戸山町12-1,35.0296296,135.6982296,,,0:00:00,0:00:00,,,,,,
11000000,甲塚古墳,右京区嵯峨甲塚町18-2,35.0198067,135.691223,,,0:00:00,0:00:00,,,,,,
11000000,嵯峨七ッ塚古墳,右京区北嵯峨洞ノ内町付近,35.0296342,135.6843283,,,0:00:00,0:00:00,,,,,,
11000000,天皇の杜古墳,西京区御陵塚ノ越町,34.9782272,135.6896517,,,0:00:00,0:00:00,,,,,,
