ID,0,1,2,3,4
197,10000000.0,北野天満宮　狛犬　その二,上京区御前通今小路上る馬喰町,35.0299253,135.735813
198,10000000.0,護王神社　猪,上京区烏丸通下長者町下る桜鶴円町,35.0221032,135.7590586
199,10000000.0,禅居庵　摩利支天堂,東山区大和大路通四条下る4丁目小松町146,34.9993145,135.772403
200,10000000.0,大国社＜大豊神社＞　狛ねずみ,左京区鹿ケ谷宮ノ前町1,35.0183937,135.7962197
201,10000000.0,日吉社＜大豊神社＞　狛猿,左京区鹿ケ谷宮ノ前町1,35.0183937,135.7962197
202,10000000.0,伏見稲荷大社　眷属像,伏見区深草薮之内町68,34.966921,135.7731484
203,10000000.0,法輪寺＜西京区＞　牛,西京区嵐山虚空蔵山町16,35.0100978,135.6770003
204,10000000.0,法輪寺＜西京区＞　虎,西京区嵐山虚空蔵山町16,35.0100978,135.6770003
205,10000000.0,三宅八幡宮　鳩,左京区上高野三宅町22,35.068349,135.7941056
206,10000000.0,安井金比羅宮　狛犬,東山区東大路通松原上る下弁天町70,34.9998937,135.7758964
207,10000000.0,大原野神社　神鹿,西京区大原野南春日町1152,34.9582501,135.6554481
208,11000000.0,御堂ヶ池1号墳,右京区鳴滝音戸山町12-1,35.0296296,135.6982296
209,11000000.0,甲塚古墳,右京区嵯峨甲塚町18-2,35.0198067,135.691223
210,11000000.0,嵯峨七ッ塚古墳,右京区北嵯峨洞ノ内町付近,35.0296342,135.6843283
211,11000000.0,天皇の杜古墳,西京区御陵塚ノ越町,34.9782272,135.6896517
212,11000000.0,福西古墳7号墳及び10号墳,西京区大枝北福西町4-2,34.9630801,135.6797998
213,11000000.0,蛇塚古墳,右京区太秦面影町,35.011699,135.700892
